Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,539.840027,542.950012,538.049988,538.090027,538.090027,73560000
2017-11-28,539.400024,544.979980,539.039978,543.590027,543.590027,88117100
2017-11-29,546.130005,546.599976,540.179993,541.419983,541.419983,93476400
2017-11-30,541.109985,545.020020,540.109985,540.109985,540.109985,146095800
2017-12-01,540.950012,541.400024,535.289978,535.570007,535.570007,105504300
2017-12-04,541.989990,543.549988,539.820007,541.539978,541.539978,94822000
2017-12-05,542.510010,543.880005,540.190002,543.080017,543.080017,91373700
2017-12-06,539.150024,543.750000,538.299988,542.770020,542.770020,84359700
2017-12-07,543.650024,544.669983,542.080017,544.510010,544.510010,113067600
2017-12-08,547.299988,548.900024,546.359985,547.219971,547.219971,109184800
2017-12-11,548.809998,548.919983,547.200012,548.409973,548.409973,90420600
2017-12-12,550.090027,552.869995,548.960022,552.869995,552.869995,112950800
2017-12-13,551.650024,552.849976,550.559998,550.559998,550.559998,97610200
2017-12-14,550.159973,550.599976,547.469971,547.469971,547.469971,85986200
2017-12-15,546.609985,548.669983,545.650024,548.669983,548.669983,140605300
2017-12-18,551.570007,553.650024,551.150024,553.289978,553.289978,79307000
2017-12-19,553.840027,555.119995,551.909973,552.030029,552.030029,66861000
2017-12-20,552.210022,552.260010,545.190002,547.380005,547.380005,73627200
2017-12-21,546.270020,549.719971,544.080017,549.390015,549.390015,70545600
2017-12-22,548.330017,549.179993,546.890015,548.479980,548.479980,45269700
2017-12-27,548.510010,549.859985,546.440002,548.599976,548.599976,41838900
2017-12-28,548.349976,548.940002,546.469971,547.059998,547.059998,39861100
2017-12-29,546.200012,547.719971,544.039978,544.580017,544.580017,45533300
2018-01-02,545.239990,545.380005,540.340027,544.789978,544.789978,64576900
2018-01-03,546.460022,551.020020,546.099976,549.340027,549.340027,93687300
2018-01-04,551.369995,555.000000,550.909973,554.059998,554.059998,94628400
2018-01-05,554.590027,558.159973,554.169983,558.159973,558.159973,76775500
2018-01-08,559.820007,561.320007,559.530029,560.890015,560.890015,66889500
2018-01-09,562.239990,563.309998,561.239990,563.039978,563.039978,104849200
2018-01-10,562.169983,563.299988,559.159973,560.440002,560.440002,110080700
2018-01-11,561.330017,561.330017,557.830017,558.890015,558.890015,100225100
2018-01-12,559.989990,561.099976,557.929993,561.099976,561.099976,84925800
2018-01-15,561.500000,562.229980,559.859985,561.059998,561.059998,55010800
2018-01-16,561.700012,562.700012,560.260010,561.179993,561.179993,72831800
2018-01-17,561.719971,564.090027,561.330017,563.280029,563.280029,85777000
2018-01-18,565.880005,566.489990,564.150024,566.489990,566.489990,87099200
2018-01-19,565.669983,570.270020,565.539978,569.299988,569.299988,82275600
2018-01-22,569.080017,570.900024,568.859985,570.820007,570.820007,74479900
2018-01-23,572.750000,572.809998,569.260010,570.599976,570.599976,90079800
2018-01-24,570.039978,570.440002,566.039978,566.039978,566.039978,77752000
2018-01-25,564.799988,569.210022,563.349976,565.070007,565.070007,82339700
2018-01-26,565.000000,567.700012,564.400024,566.789978,566.789978,59366000
2018-01-29,567.580017,567.580017,565.080017,566.059998,566.059998,66977800
2018-01-30,563.229980,564.760010,559.880005,561.000000,561.000000,91545100
2018-01-31,560.429993,562.080017,559.150024,560.520020,560.520020,105548900
2018-02-01,563.020020,563.539978,555.840027,556.869995,556.869995,99998800
2018-02-02,555.700012,555.700012,549.950012,550.080017,550.080017,88861000
2018-02-05,544.070007,545.159973,540.770020,542.650024,542.650024,96139500
2018-02-06,523.190002,533.599976,522.200012,526.179993,526.179993,184754700
2018-02-07,533.729980,537.719971,529.520020,536.359985,536.359985,123695600
2018-02-08,532.940002,533.869995,524.210022,526.119995,526.119995,113282100
2018-02-09,522.969971,525.400024,515.960022,518.330017,518.330017,134030200
2018-02-12,524.299988,526.570007,521.609985,524.099976,524.099976,91581600
2018-02-13,524.780029,525.270020,520.570007,520.570007,520.570007,76844100
2018-02-14,523.979980,527.479980,518.049988,525.640015,525.640015,99078300
2018-02-15,528.059998,529.429993,525.580017,527.570007,527.570007,99601600
