Date,Open,High,Low,Close,Volume
02/28/2014,"87.52","88.00","84.21","85.64","2,628,431"
02/27/2014,"84.99","87.61","84.00","87.03","2,088,889"
02/26/2014,"81.75","86.18","80.99","84.13","2,821,656"
02/25/2014,"76.80","82.30","76.40","80.00","2,074,866"
02/24/2014,"72.46","77.98","72.46","76.31","1,555,576"
02/21/2014,"73.82","73.88","72.09","72.68","594,678"
02/20/2014,"71.90","73.50","70.75","72.93","800,330"
02/19/2014,"71.88","73.70","70.81","71.08","919,496"
02/18/2014,"75.29","75.30","71.30","71.90","1,414,521"
02/14/2014,"73.90","75.89","72.03","74.35","1,645,559"
02/13/2014,"67.50","73.66","66.66","72.01","2,393,546"
02/12/2014,"74.00","75.74","68.71","69.08","4,451,342"
02/11/2014,"79.00","79.92","75.37","78.01","2,794,924"
02/10/2014,"72.85","78.70","71.50","76.85","2,490,366"
02/07/2014,"67.00","70.97","66.59","70.73","1,251,019"
02/06/2014,"65.90","67.12","65.28","66.27","527,728"
02/05/2014,"68.20","68.20","64.31","66.11","1,004,917"
02/04/2014,"67.41","68.38","66.31","66.84","1,060,232"
02/03/2014,"71.43","72.74","65.02","66.52","2,371,898"
01/31/2014,"68.52","76.94","68.25","72.99","1,901,346"
01/30/2014,"70.00","71.33","69.05","69.34","611,813"
01/29/2014,"68.68","71.00","67.67","68.31","807,797"
01/28/2014,"69.00","71.50","67.71","69.84","1,124,920"
01/27/2014,"68.08","70.00","65.88","68.28","1,026,931"
01/24/2014,"71.03","71.30","66.39","67.30","1,971,500"
01/23/2014,"73.95","74.20","71.58","73.17","815,599"
01/22/2014,"71.34","74.40","69.51","73.73","1,359,394"
01/21/2014,"71.82","72.48","67.63","69.44","2,502,833"
01/17/2014,"71.29","75.24","70.88","73.57","3,204,504"
01/16/2014,"68.55","71.53","66.27","70.99","2,515,440"
01/15/2014,"60.27","66.17","59.53","65.45","2,963,293"
01/14/2014,"56.45","59.37","55.14","58.87","1,515,530"
01/13/2014,"57.90","58.45","55.31","55.64","917,442"
01/10/2014,"58.65","58.90","55.70","57.80","940,351"
01/09/2014,"57.77","58.39","57.39","57.90","841,106"
01/08/2014,"60.47","60.50","56.59","56.96","1,841,949"
01/07/2014,"58.89","61.63","57.77","60.50","1,916,007"
01/06/2014,"57.39","59.43","55.01","58.51","3,548,201"
01/03/2014,"50.69","57.27","49.60","57.02","9,755,325"
01/02/2014,"43.02","43.87","40.41","41.13","1,124,902"
12/31/2013,"44.00","44.20","43.09","43.61","282,525"
12/30/2013,"43.23","44.17","42.61","43.69","376,313"
12/27/2013,"43.00","43.49","42.30","43.13","477,476"
12/26/2013,"40.43","43.85","40.23","43.43","1,079,703"
12/24/2013,"39.79","40.35","39.64","40.10","83,382"
12/23/2013,"39.65","40.43","39.34","39.79","248,238"
12/20/2013,"39.84","40.16","38.79","39.56","2,090,575"
12/19/2013,"39.30","40.49","38.78","40.18","562,517"
12/18/2013,"38.97","39.49","38.25","39.36","511,248"
12/17/2013,"38.30","39.10","38.10","38.87","474,347"
12/16/2013,"38.50","39.25","37.49","38.94","462,085"
12/13/2013,"38.21","39.42","37.85","38.33","454,229"
12/12/2013,"37.25","37.93","36.61","37.46","319,854"
12/11/2013,"36.83","38.95","36.83","37.76","460,899"
12/10/2013,"36.76","37.71","36.61","37.60","319,632"
12/09/2013,"37.26","37.26","36.15","36.93","307,146"
12/06/2013,"37.33","37.33","36.54","36.59","194,775"
12/05/2013,"36.52","38.27","36.51","36.75","320,927"
12/04/2013,"36.63","37.14","36.54","36.71","289,364"
12/03/2013,"36.63","37.25","36.57","37.01","212,489"
12/02/2013,"37.90","38.40","36.92","37.09","240,762"
11/29/2013,"38.74","38.95","38.17","38.37","108,002"
11/27/2013,"37.70","38.74","36.01","38.24","490,019"
11/26/2013,"34.99","37.80","33.90","37.37","1,184,619"
11/25/2013,"35.27","35.27","33.60","33.71","418,472"
11/22/2013,"34.41","35.00","34.10","34.90","272,677"
11/21/2013,"33.61","35.11","33.60","34.22","371,799"
11/20/2013,"36.20","37.00","33.30","33.60","531,398"
11/19/2013,"37.19","37.50","35.93","36.01","342,961"
11/18/2013,"39.00","39.00","36.97","37.27","275,239"
11/15/2013,"39.17","39.25","38.28","38.86","136,487"
11/14/2013,"39.08","39.08","37.60","38.67","210,578"
11/13/2013,"37.29","38.82","36.68","38.66","291,706"
11/12/2013,"37.72","37.77","36.47","36.73","401,256"
11/11/2013,"37.69","38.05","36.75","37.33","739,735"
11/08/2013,"41.50","41.50","35.50","37.73","2,358,948"
11/07/2013,"39.80","39.91","37.52","38.03","1,176,891"
11/06/2013,"38.18","39.97","37.28","39.89","697,688"
11/05/2013,"38.29","38.29","36.32","37.36","439,342"
11/04/2013,"38.15","38.38","37.47","37.83","315,991"
11/01/2013,"38.37","39.00","37.21","38.43","394,431"
10/31/2013,"38.69","38.70","36.15","37.90","769,988"
10/30/2013,"40.00","40.00","38.17","38.69","300,241"
10/29/2013,"40.00","40.82","39.96","40.22","219,971"
10/28/2013,"41.15","41.15","39.52","39.99","217,210"
10/25/2013,"43.08","43.14","40.50","41.22","239,270"
10/24/2013,"40.10","42.70","39.81","42.51","429,687"
10/23/2013,"39.85","39.99","38.40","39.75","276,327"
10/22/2013,"40.59","41.11","39.76","39.85","499,312"
10/21/2013,"42.19","42.25","40.75","41.00","295,752"
10/18/2013,"42.60","44.55","41.05","42.37","682,764"
10/17/2013,"40.01","42.25","40.01","42.20","348,433"
10/16/2013,"40.69","41.25","39.21","39.87","477,845"
10/15/2013,"41.99","42.00","39.87","40.77","762,181"
10/14/2013,"42.07","42.49","41.25","41.55","183,339"
10/11/2013,"42.39","42.50","40.90","42.07","374,144"
10/10/2013,"40.40","41.89","40.00","41.49","425,942"
10/09/2013,"40.10","40.75","38.61","38.81","538,922"
10/08/2013,"42.50","42.65","39.68","39.89","661,174"
10/07/2013,"43.93","43.93","41.59","42.66","477,495"
10/04/2013,"41.00","43.84","40.45","42.69","952,431"
10/03/2013,"41.53","41.53","40.00","40.47","209,905"
10/02/2013,"39.51","40.90","39.50","40.70","321,681"
10/01/2013,"42.33","42.90","39.57","40.38","616,854"
09/30/2013,"41.08","42.72","40.18","41.53","925,873"
09/27/2013,"41.68","43.00","40.02","41.11","1,273,723"
09/26/2013,"39.45","41.78","39.00","41.63","1,098,262"
09/25/2013,"37.50","40.00","37.25","38.80","995,120"
09/24/2013,"37.55","38.40","36.24","37.01","1,219,599"
09/23/2013,"35.25","38.48","35.25","37.45","2,404,078"
