Date;SP;MNDT;?SP;?MNDT
09/23/2013;1711.44;38.48;;
09/24/2013;1707.63;38.4;-0.002226195;-0.002079002
09/25/2013;1701.71;40.0;-0.003466793;0.041666667
09/26/2013;1703.85;41.78;0.001257559;0.0445
09/27/2013;1695.52;43.0;-0.004888928;0.029200574
09/30/2013;1687.26;42.72;-0.004871662;-0.006511628
10.01.2013;1696.55;42.9;0.005505968;0.004213483
10.02.2013;1693.87;40.9;-0.001579676;-0.046620047
10.03.2013;1692.35;41.53;-0.000897353;0.015403423
10.04.2013;1691.94;43.84;-0.000242267;0.055622442
10.07.2013;1687.15;43.93;-0.00283107;0.00205292
10.08.2013;1676.79;42.65;-0.006140533;-0.029137264
10.09.2013;1662.47;40.75;-0.008540127;-0.044548652
10.10.2013;1692.56;41.89;0.018099575;0.02797546
10.11.2013;1703.44;42.5;0.006428133;0.014561948
10/14/2013;1711.03;42.49;0.00445569;-0.000235294
10/15/2013;1711.57;42.0;0.000315599;-0.011532125
10/16/2013;1721.76;41.25;0.005953598;-0.017857143
10/17/2013;1733.45;42.25;0.006789564;0.024242424
10/18/2013;1745.31;44.55;0.006841847;0.05443787
10/21/2013;1747.79;42.25;0.001420951;-0.051627385
10/22/2013;1759.33;41.11;0.006602624;-0.026982249
10/23/2013;1752.27;39.99;-0.004012891;-0.02724398
10/24/2013;1753.94;42.7;0.000953049;0.067766942
10/25/2013;1759.82;43.14;0.003352452;0.01030445
10/28/2013;1764.99;41.15;0.0029378;-0.046128883
10/29/2013;1772.09;40.82;0.004022686;-0.008019441
10/30/2013;1775.22;40.0;0.001766276;-0.020088192
10/31/2013;1768.53;38.7;-0.003768547;-0.0325
11.01.2013;1765.67;39.0;-0.001617162;0.007751938
11.04.2013;1768.78;38.38;0.001761371;-0.015897436
11.05.2013;1767.03;38.29;-0.000989383;-0.002344971
11.06.2013;1773.74;39.97;0.003797332;0.043875686
11.07.2013;1774.54;39.91;0.000451024;-0.001501126
11.08.2013;1770.78;41.5;-0.002118859;0.039839639
11.11.2013;1773.44;38.05;0.001502163;-0.08313253
