Date,SP,TGT
02/28/2013,1525.34,64.09
03/01/2013,1519.99,64.39
03/04/2013,1525.27,66.92
03/05/2013,1543.47,66.84
03/06/2013,1545.25,66.9
03/07/2013,1545.78,66.25
03/08/2013,1552.48,66.47
03/11/2013,1556.27,67.37
03/12/2013,1556.77,67.56
03/13/2013,1556.39,67.48
03/14/2013,1563.32,67.5
03/15/2013,1563.62,67.29
03/18/2013,1560.7,67.06
03/19/2013,1557.25,67.19
03/20/2013,1561.56,68.87
03/21/2013,1558.71,68.27
03/22/2013,1557.74,68.76
03/25/2013,1564.91,68.89
03/26/2013,1563.95,68.77
03/27/2013,1564.07,69.84
03/28/2013,1570.28,69.43
04/01/2013,1570.57,68.83
04/02/2013,1573.66,69.11
04/03/2013,1571.47,68.56
04/04/2013,1562.6,68.83
04/05/2013,1559.98,68.89
04/08/2013,1563.07,69.49
04/09/2013,1573.89,69.46
04/10/2013,1589.07,69.24
04/11/2013,1597.35,69.91
04/12/2013,1593.3,69.71
04/15/2013,1588.84,69.66
04/16/2013,1575.35,68.68
04/17/2013,1574.57,68.93
04/18/2013,1554.38,68.85
04/19/2013,1555.89,69.22
04/22/2013,1565.55,69.19
04/23/2013,1579.58,69.92
04/24/2013,1583.0,70.5
04/25/2013,1592.64,70.99
04/26/2013,1585.78,70.98
04/29/2013,1596.65,70.75
04/30/2013,1597.57,70.64
05/01/2013,1597.55,70.83
05/02/2013,1598.6,69.75
05/03/2013,1618.46,70.72
05/06/2013,1619.77,70.36
05/07/2013,1626.03,70.75
05/08/2013,1632.78,70.45
05/09/2013,1635.01,70.08
05/10/2013,1633.7,69.74
05/13/2013,1636.0,69.7
05/14/2013,1651.1,69.8
05/15/2013,1661.49,70.48
05/16/2013,1660.51,70.35
05/17/2013,1667.47,71.24
05/20/2013,1672.84,71.1
05/21/2013,1674.93,71.91
05/22/2013,1687.18,69.7
05/23/2013,1655.5,69.27
05/24/2013,1649.78,69.73
05/28/2013,1674.21,71.04
05/29/2013,1656.57,69.89
05/30/2013,1661.91,70.55
05/31/2013,1658.99,70.58
06/03/2013,1640.42,71.13
06/04/2013,1646.53,72.77
06/05/2013,1629.31,71.74
06/06/2013,1622.56,70.27
06/07/2013,1644.4,70.88
06/10/2013,1648.69,70.75
06/11/2013,1640.13,70.56
06/12/2013,1637.71,70.65
06/13/2013,1639.25,69.81
06/14/2013,1640.8,69.63
06/17/2013,1646.5,70.01
06/18/2013,1654.19,70.22
06/19/2013,1652.45,70.33
06/20/2013,1624.62,69.09
06/21/2013,1599.19,69.28
06/24/2013,1588.77,68.74
06/25/2013,1593.79,69.35
06/26/2013,1606.83,69.52
06/27/2013,1620.07,69.64
06/28/2013,1615.94,69.2
07/01/2013,1626.61,70.06
07/02/2013,1624.26,70.36
07/03/2013,1618.97,69.45
07/05/2013,1632.07,70.46
07/08/2013,1644.68,71.22
07/09/2013,1654.18,71.97
07/10/2013,1657.92,72.23
07/11/2013,1676.63,72.94
07/12/2013,1680.19,72.56
07/15/2013,1684.51,72.65
07/16/2013,1683.73,72.6
07/17/2013,1684.75,72.66
07/18/2013,1693.12,73.0
07/19/2013,1692.09,72.83
07/22/2013,1697.61,73.08
07/23/2013,1698.78,73.37
07/24/2013,1698.38,73.5
