Date;SP;MNDT;TGT;?SP;?MNDT;?TGT
09/23/2013;1711.44;38.48;64.65;;;
09/24/2013;1707.63;38.4;64.25;-0.002226195;-0.002079002;-0.006187162
09/25/2013;1701.71;40.0;64.0;-0.003466793;0.041666667;-0.003891051
09/26/2013;1703.85;41.78;63.91;0.001257559;0.0445;-0.00140625
09/27/2013;1695.52;43.0;64.28;-0.004888928;0.029200574;0.005789391
09/30/2013;1687.26;42.72;63.99;-0.004871662;-0.006511628;-0.004511512
10.01.2013;1696.55;42.9;64.08;0.005505968;0.004213483;0.00140647
10.02.2013;1693.87;40.9;63.72;-0.001579676;-0.046620047;-0.005617978
10.03.2013;1692.35;41.53;63.73;-0.000897353;0.015403423;0.000156937
10.04.2013;1691.94;43.84;63.45;-0.000242267;0.055622442;-0.004393535
10.07.2013;1687.15;43.93;63.31;-0.00283107;0.00205292;-0.002206462
10.08.2013;1676.79;42.65;62.84;-0.006140533;-0.029137264;-0.007423788
10.09.2013;1662.47;40.75;62.81;-0.008540127;-0.044548652;-0.000477403
10.10.2013;1692.56;41.89;63.58;0.018099575;0.02797546;0.012259194
10.11.2013;1703.44;42.5;63.23;0.006428133;0.014561948;-0.005504876
10/14/2013;1711.03;42.49;63.72;0.00445569;-0.000235294;0.007749486
10/15/2013;1711.57;42.0;63.55;0.000315599;-0.011532125;-0.002667922
10/16/2013;1721.76;41.25;63.9;0.005953598;-0.017857143;0.005507474
10/17/2013;1733.45;42.25;64.88;0.006789564;0.024242424;0.015336463
10/18/2013;1745.31;44.55;65.26;0.006841847;0.05443787;0.005856967
10/21/2013;1747.79;42.25;64.93;0.001420951;-0.051627385;-0.005056696
10/22/2013;1759.33;41.11;65.46;0.006602624;-0.026982249;0.008162637
10/23/2013;1752.27;39.99;65.18;-0.004012891;-0.02724398;-0.004277421
10/24/2013;1753.94;42.7;64.55;0.000953049;0.067766942;-0.009665542
10/25/2013;1759.82;43.14;64.18;0.003352452;0.01030445;-0.005731991
10/28/2013;1764.99;41.15;65.06;0.0029378;-0.046128883;0.013711437
10/29/2013;1772.09;40.82;64.9;0.004022686;-0.008019441;-0.002459268
10/30/2013;1775.22;40.0;65.95;0.001766276;-0.020088192;0.016178737
10/31/2013;1768.53;38.7;66.11;-0.003768547;-0.0325;0.00242608
11.01.2013;1765.67;39.0;64.93;-0.001617162;0.007751938;-0.017849039
11.04.2013;1768.78;38.38;65.36;0.001761371;-0.015897436;0.006622517
11.05.2013;1767.03;38.29;65.25;-0.000989383;-0.002344971;-0.001682987
11.06.2013;1773.74;39.97;66.08;0.003797332;0.043875686;0.012720307
11.07.2013;1774.54;39.91;65.99;0.000451024;-0.001501126;-0.001361985
11.08.2013;1770.78;41.5;65.13;-0.002118859;0.039839639;-0.013032278
11.11.2013;1773.44;38.05;65.85;0.001502163;-0.08313253;0.011054813
11.12.2013;1771.78;37.77;66.09;-0.000936034;-0.007358739;0.003644647
