"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::a00:27ff:fe43:73bc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2","0.005827440","0.0.0.0","255.255.255.255","DHCP","330","DHCP Request  - Transaction ID 0x79e3d163"
"3","0.006234044","10.0.2.2","10.0.2.15","DHCP","590","DHCP ACK      - Transaction ID 0x79e3d163"
"4","0.006298629","PcsCompu_43:73:bc","Broadcast","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"5","0.006493984","RealtekU_12:35:02","PcsCompu_43:73:bc","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"6","0.006504016","10.0.2.15","10.0.2.2","ICMP","590","Destination unreachable (Port unreachable)"
"7","0.690862548","fe80::a00:27ff:fe43:73bc","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"8","6.562764267","10.0.2.15","130.89.0.128","DNS","74","Standard query 0xcb86 A www.google.com"
"9","6.562822383","10.0.2.15","130.89.0.128","DNS","74","Standard query 0xad8d AAAA www.google.com"
"10","6.565349986","130.89.0.128","10.0.2.15","DNS","90","Standard query response 0xcb86 A www.google.com A 142.250.179.132"
"11","6.566140356","130.89.0.128","10.0.2.15","DNS","102","Standard query response 0xad8d AAAA www.google.com AAAA 2a00:1450:400e:801::2004"
"12","6.566576417","10.0.2.15","142.250.179.132","TCP","74","51738  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=348796767 TSecr=0 WS=128"
"13","6.572761725","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"14","6.572833793","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"15","6.577351395","10.0.2.15","142.250.179.132","TLSv1.3","571","Client Hello"
"16","6.577851185","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"17","6.584506214","142.250.179.132","10.0.2.15","TLSv1.3","1304","Server Hello, Change Cipher Spec"
"18","6.584528220","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=518 Ack=1251 Win=63750 Len=0"
"19","6.585262927","142.250.179.132","10.0.2.15","TLSv1.3","3089","Application Data"
"20","6.585301654","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=518 Ack=4286 Win=61320 Len=0"
"21","6.598555828","10.0.2.15","142.250.179.132","TLSv1.3","118","Change Cipher Spec, Application Data"
"22","6.599099713","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=4286 Ack=582 Win=65535 Len=0"
"23","6.600033642","10.0.2.15","142.250.179.132","TLSv1.3","224","Application Data"
"24","6.600084589","10.0.2.15","142.250.179.132","TLSv1.3","629","Application Data"
"25","6.600505529","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=4286 Ack=752 Win=65535 Len=0"
"26","6.600505696","142.250.179.132","10.0.2.15","TCP","60","443  >  51738 [ACK] Seq=4286 Ack=1327 Win=65535 Len=0"
"27","6.606150928","142.250.179.132","10.0.2.15","TLSv1.3","693","Application Data, Application Data, Application Data"
"28","6.606176667","10.0.2.15","142.250.179.132","TCP","54","51738  >  443 [ACK] Seq=1327 Ack=4925 Win=62780 Len=0"
"29","6.606608269","10.0.2.15","142.250.179.132","TLSv1.3","85","Application Data"
