,name,vendor,category,shippingCountry,dollars,positiveRating,negativeRating,rating,main_category,legal,legality_reason
0,"LEVEL 1 - FULL Ounce $160 **Dutch, CandyLand**",DroDodo,Weed,United States,160,2485,0,100,Drug,illegal,not specified
1,12 x 250ug LSD tabs (stamps) - FREE SHIPPING,Streetlegend,LSD,Netherlands,65,1420,10,99,Drug,illegal,hard drug
2,disneyplus account,levelup,Accounts,United States,10,1516,0,100,Accounts,depends,you are not allowed to sell accounts of other without permission
3,Blue Magic Uncut Cocaine 95% Pure Coke from Peru 0.5g Sample,bluemagic,Cocaine,United Kingdom,75,18313,42,100,Drug,illegal,hard drug
4,1GR ULTRA CLEAN QUALITY COCAINE 95% #1,ViceKings,Cocaine,Netherlands,60,18083,236,99,Drug,illegal,hard drug
5,★★★ STRAWBERRY GUM -  1 G★★★ WEED,MisterGreen,Weed,France,15,1390,20,99,Drug,legal,weed is legal for personal use in the netherlands but not for selling
6,"100MG DMT ( WHITE DREAM-99,9%DMT) +100 MG GOLDEN DREAM 90%DMT FREE SHIPPING",kingofcannabis,DMT,Not Specified,21,570,0,100,Drug,illegal,hard drug
7,★★SUPER SKUNK ORIGINAL - 2.0 G ★ ★★ IN STOCK.,marcopolo1969,Weed,France,28,2573,0,100,Drug,illegal,weed is a decriminalized softdrug in the netherlands but is illegal to sell
8,#5X #SALE || 2CB YELLOW BATMAN 20MG || USA AUS EU WW,WeAreAMSTERDAM,2C,Netherlands,25,28944,209,99,Drug,illegal,hard drug
9,50x LSD DA VINCI CODE 230UG,Amazon10,LSD,Netherlands,190,1188,5,100,Drug,illegal,hard drug
10,5Gr Speed Paste-Amphetamine Paste,Flako,Speed,Germany,10,7070,61,99,Drug,illegal,hard drug
11,88% MDMA Champagne Rocks - Pure and Clean from UK 1g,bluemagic,MDMA,United Kingdom,13,18313,42,100,Drug,illegal,hard drug
12,GHB 5 ML PURE TESTER [★★WORLDWIDE SHIPPING★★ [5ml - 2000ML],Drugsbunny,GHB,Netherlands,10,470,10,98,Drug,illegal,hard drug
13,[USA-USA] Ketamine S-isomer 7gr,Hilfiger,Ketamine,United States,175,1970,5,100,Drug,illegal,hard drug
14,→  1 Gr High Quality Colombian Cocaine  [91%],Lidl,Cocaine,Netherlands,62,6510,51,99,Drug,illegal,hard drug
15,50 ml | Pure GHB (GBL from German BASF) ✈ WORLDWIDE SHIPPING,thebosseu,GHB,Netherlands,45,2952,10,100,Drug,illegal,hard drug
16,OXYCODONE 30mg x 50,gameleaque,Oxycodon,United States,500,135,5,96,Drug,illegal,hard drug
17,1gr ultra clean cocaine 92%,xfuckx,Cocaine,Netherlands,55,541,105,84,Drug,illegal,hard drug
18,Valium Roche 10mg pills Pharma Diazepam Box 25 Tabs,bluemagic,Valium,United Kingdom,30,18313,42,100,Drug,illegal,hard drug
19,1G Colombian Cocaine 92% Pure ★★★★★,Amazon10,Cocaine,Netherlands,60,1188,5,100,Drug,illegal,hard drug
20,0.25Gr Top Quality Crystal-Meth(TEST IT),Flako,Meth,Germany,12,7070,61,99,Drug,illegal,hard drug
21,DMT the spirit molecule. 0.5g UK only advert profiessional processcesed,TrumpTower,DMT,United Kingdom,75,640,15,98,Drug,illegal,hard drug
22,#0.5GR #SALE || AMSTERDAM HAZE 21% THC || SUPER SILVER || USA AUS EU WW,WeAreAMSTERDAM,Weed,Netherlands,10,28944,209,99,Drug,legal,not specified
23,PURE OPIUM  FROM IRAN 1G,marcopolo1969,Opium,France,35,2573,0,100,Drug,illegal,hard drug
24,Xanax 2mg Alprazalom Pharma Grade UK Xans x 50,bluemagic,Xanax,United Kingdom,50,18313,42,100,Drug,illegal,hard drug
25,★★★  NORTHERN LIGHT -  5 G ★★★ WEED,MisterGreen,Weed,France,68,1390,20,99,Drug,illegal,weed up to 5 gram is allowed for personal use in the netherlands but not for selling
26,5 XTC PILLS 250MG {REDBULL MAYBACH PHILIP PLEIN},Flako,Ecstasy,Germany,10,7070,61,99,Drug,illegal,hard drug
27,2 Grams - Pure Afghan Heroin #3 [87%],DailyPaper,Heroin,Netherlands,58,100,0,100,Drug,illegal,hard drug
28,1G Colombian Cocaine Uncut ±90% Premium Quality,roses,Cocaine,Netherlands,74,1005,0,100,Drug,illegal,hard drug
29,1g AFGHAN Heroin #4 (PURE UNCUT GRADE A+) ..USA - USA,ezinpharma,Heroin,United States,190,1180,5,100,Drug,illegal,hard drug
30,1 Gram Crystal-Meth,JimmJoness,Meth,Netherlands,33,1849,55,97,Drug,illegal,hard drug
31,$260 30mg Oxycodon m30 x15 Worldwide,Dimma,Oxycodon,United Kingdom,260,2692,15,99,Drug,illegal,hard drug
32,25x Piece 220MG XTC PILLS,JimmJoness,Ecstasy,Netherlands,30,1849,55,97,Drug,illegal,hard drug
33,**99.99 Percent Pure GHB** 50ML US DOMESTIC,Suriv01,GHB,Not Specified,70,150,5,97,Drug,illegal,hard drug
34,10G DUCTH MDMA--♠ QUALITY CHAMPAGNE MDMA ♠ DE--DE ♠**GERMANY DOMESTIC ONLY** 10G MDMA $85,Muankum12,MDMA,Germany,85,530,5,99,Drug,illegal,hard drug
35,[EU-WW] Pfizer Xanax 1mg 60 Pills (1 box) original pharmacy! UNTIL DEC 18  125$,Hilfiger,Xanax,Not Specified,125,1970,5,100,Drug,illegal,hard drug
36,⌐|0.3G|¬ ► Turkish Heroin [PURE & UNCUT] | Free WW-Shipping + [0.2G BONUS],TweeTy,Heroin,Netherlands,12,419,5,99,Drug,illegal,hard drug
37,0.25Gr Pure Afghan Heroin,Flako,Heroin,Germany,12,7070,61,99,Drug,illegal,hard drug
38,THC Vape Carts - 2 PACK $65 **FatDonald**,DroDodo,Concentrates,United States,60,2485,0,100,Concentrates,illegal,not specified
39,★★★ AMNESIA HAZE - 3 G ★ ★ ★ HIGH THC WEED,MisterGreen,Weed,France,40,1390,20,99,Drug,illegal,weed up to 5 gram is allowed for personal use in the netherlands but not for selling
40,** 10 x TESLA xtc PILLS 250mg MDMA + EXTRAS - UK SELLER **,GRUENEWALDSCAVE,Ecstasy,United Kingdom,25,1279,11,99,Drug,illegal,hard drug
