Date,Open,High,Low,Close
12/17/2021,"15.6748","17.0275","15.6288","16.4185"
12/16/2021,"14.7999","15.7280","14.7903","15.6709"
12/15/2021,"14.3863","14.8322","14.3588","14.7984"
12/14/2021,"13.8139","14.4290","13.7876","14.3906"
12/13/2021,"13.8800","14.6412","13.6450","13.8051"
12/10/2021,"13.7848","13.9553","13.7394","13.8769"
12/09/2021,"13.6772","13.8433","13.6334","13.7856"
12/08/2021,"13.5067","13.8140","13.4938","13.6765"
12/07/2021,"13.8000","13.8475","13.4351","13.4935"
12/06/2021,"13.7043","13.8870","13.6760","13.7923"
12/03/2021,"13.6834","13.9231","13.4123","13.7042"
12/02/2021,"13.2626","13.8292","13.2607","13.6833"
12/01/2021,"13.4856","13.9127","12.4526","13.2628"
11/30/2021,"12.8264","13.7441","12.7256","13.4782"
11/29/2021,"12.3750","12.9204","12.3266","12.8189"
11/26/2021,"11.9900","12.5392","11.9481","12.4251"
11/25/2021,"12.0874","12.2183","11.8683","11.9899"
11/24/2021,"12.8224","13.1518","11.5780","12.0875"
11/23/2021,"11.3833","13.3678","11.3457","12.8223"
11/22/2021,"11.2411","11.4709","10.9505","11.3840"
11/19/2021,"10.9956","11.3208","10.8160","11.2329"
11/18/2021,"10.6282","11.2978","10.4522","10.9955"
11/17/2021,"10.3362","10.6863","10.3078","10.6281"
11/16/2021,"10.0619","10.4141","10.0551","10.3408"
11/15/2021,"9.9954","10.0779","9.9500","10.0609"
11/12/2021,"9.9050","10.0246","9.8675","9.9747"
11/11/2021,"9.8479","9.9744","9.8354","9.9056"
11/10/2021,"9.7327","9.8762","9.7269","9.8428"
11/09/2021,"9.6843","9.7358","9.6772","9.7329"
11/08/2021,"9.6911","9.7452","9.6605","9.6840"
11/05/2021,"9.7046","9.7464","9.6697","9.6935"
11/04/2021,"9.6445","9.7665","9.6409","9.7044"
11/03/2021,"9.6066","9.7422","9.5928","9.6454"
11/02/2021,"9.5388","9.6150","9.4660","9.6031"
11/01/2021,"9.6066","9.6204","9.4885","9.5391"
10/29/2021,"9.5474","9.6328","9.5120","9.6080"
10/28/2021,"9.4967","9.6315","9.4790","9.5434"
10/27/2021,"9.5375","9.5516","9.4669","9.4979"
10/26/2021,"9.5886","9.6251","9.4113","9.5438"
10/25/2021,"9.6034","9.8595","9.5450","9.5885"
10/22/2021,"9.5189","9.6575","9.4850","9.5991"
10/21/2021,"9.2196","9.5532","9.2064","9.5177"
10/20/2021,"9.2970","9.3534","9.2054","9.2133"
10/19/2021,"9.3342","9.3765","9.2500","9.3013"
10/18/2021,"9.2686","9.3652","9.2373","9.3350"
10/15/2021,"9.1956","9.2796","9.1805","9.2701"
10/14/2021,"9.0896","9.2039","9.0799","9.1856"
10/13/2021,"9.0435","9.1055","9.0105","9.0881"
10/12/2021,"8.9997","9.0457","8.9865","9.0427"
10/11/2021,"8.9842","9.0198","8.9231","8.9999"
10/08/2021,"8.8766","8.9900","8.8717","8.9900"
10/07/2021,"8.8794","8.8855","8.8465","8.8782"
10/06/2021,"8.8744","8.9363","8.8626","8.8804"
10/05/2021,"8.8588","8.8947","8.8418","8.8738"
10/04/2021,"8.8564","8.8855","8.8323","8.8571"
10/01/2021,"8.8912","8.9057","8.8200","8.8607"
09/30/2021,"8.9238","8.9372","8.8593","8.8902"
09/29/2021,"8.8767","8.9588","8.8350","8.9237"
09/28/2021,"8.8209","8.8949","8.8171","8.8760"
09/27/2021,"8.8863","8.8957","8.8162","8.8225"
09/24/2021,"8.7703","8.8968","8.7654","8.8836"
09/23/2021,"8.6551","8.8022","8.6270","8.7679"
09/22/2021,"8.6274","8.6662","8.6091","8.6537"
09/21/2021,"8.6720","8.6757","8.5855","8.6276"
09/20/2021,"8.6449","8.7267","8.6410","8.6725"
09/17/2021,"8.5315","8.6595","8.5156","8.6441"
09/16/2021,"8.4362","8.5400","8.4208","8.5326"
09/15/2021,"8.4443","8.4738","8.4158","8.4353"
09/14/2021,"8.4288","8.4694","8.4085","8.4422"
09/13/2021,"8.4695","8.4825","8.4261","8.4293"
09/10/2021,"8.4369","8.4771","8.3875","8.4695"
09/09/2021,"8.4734","8.5192","8.4283","8.4365"
09/08/2021,"8.3527","8.4840","8.3406","8.4731"
09/07/2021,"8.2821","8.3539","8.2673","8.3531"
09/06/2021,"8.3262","8.3352","8.2690","8.2813"
09/03/2021,"8.2780","8.3483","8.2605","8.3229"
09/02/2021,"8.2976","8.3139","8.2620","8.2778"
09/01/2021,"8.3164","8.3324","8.2769","8.2960"
08/31/2021,"8.3809","8.3940","8.2935","8.3166"
08/30/2021,"8.3494","8.3948","8.3277","8.3799"
08/27/2021,"8.3925","8.4089","8.3416","8.3546"
08/26/2021,"8.3796","8.4025","8.3425","8.3926"
08/25/2021,"8.4098","8.4235","8.3698","8.3788"
08/24/2021,"8.4284","8.4504","8.3930","8.4103"
08/23/2021,"8.4934","8.5038","8.4235","8.4272"
08/20/2021,"8.5197","8.5600","8.2995","8.4945"
08/19/2021,"8.4549","8.5533","8.3936","8.5188"
08/18/2021,"8.4337","8.5018","8.4071","8.4523"
08/17/2021,"8.4619","8.4899","8.3841","8.4351"
08/16/2021,"8.5218","8.5341","8.4397","8.4611"
08/13/2021,"8.5581","8.5804","8.5000","8.5243"
